번호,메뉴,가격
1,행사 숯불직화구이 덮밥,"4,900"
2,행사 제육 김치 부대찌개 정식,"7,200"
3,행사 빅치킨마요 김치 부대찌개 정식,"6,300"
4,행사 돈까스도련님 고기고기,"4,900"
5,행사 동백,"4,600"
6,행사 새치 고기고기,"5,200"
7,행사 진달래,"5,900"
8,행사 스팸 김치볶음밥,"3,900"
9,"매화(치킨, 연어구이)","10,000"
10,매화(순살 고등어 간장구이),"10,000"
11,진달래,"7,000"
12,개나리(순살 고등어 간장구이),"8,000"
13,돈까스도련님고기고기,"5,800"
14,탕수육도련님고기고기,"5,800"
15,새치 고기고기,"6,200"
16,돈치 고기고기,"5,400"
17,고기고기,"4,200"
18,숯불직화구이,"6,500"
19,소불고기,"5,000"
20,메가치킨제육,"7,000"
21,칠리 찹쌀탕수육도련님,"4,200"
22,동백,"5,500"
23,치킨제육,"4,500"
24,돈까스도련님,"4,200"
25,제육볶음,"4,100"
26,돈치스팸 도시락,"4,700"
27,제육 김치찌개 정식,"8,200"
28,제육 김치 부대찌개 정식,"8,500"
29,돈치스팸 김치 부대찌개 정식,"8,500"
30,빅치킨마요 김치 부대찌개 정식,"7,400"
31,치킨마요 김치 부대찌개 정식,"6,800"
32,돈치스팸 김치찌개 정식,"8,200"
33,빅치킨마요 김치찌개 정식,"7,000"
34,치킨마요 김치찌개 정식,"6,400"
35,메가스팸마요,"5,600"
36,스팸마요,"3,600"
37,메가치킨마요,"5,500"
38,왕치킨마요,"4,500"
39,빅치킨마요,"3,800"
40,치킨마요,"3,200"
41,참치마요,"3,000"
42,돈치마요,"3,600"
43,치즈 카레도시락,"4,100"
44,돈까스 카레,"4,200"
45,3종치즈 김치볶음밥,"4,800"
46,스팸 김치볶음밥,"4,700"
47,김치볶음밥,"3,900"
48,스팸철판볶음밥,"4,500"
49,소불고기 철판볶음밥,"4,500"
50,소고기 육개장,"4,700"
51,묵은지 김치찌개,"4,500"
52,김치 부대찌개,"5,800"
53,반찬 김치 부대찌개,"4,500"
54,숯불직화구이 덮밥,"5,900"
55,마파두부 덮밥,"5,000"
56,왕카레돈까스덮밥,"5,700"
57,새우돈까스 덮밥,"3,900"
58,돈까스 덮밥,"3,800"
59,소불고기 감초고추장 비빔밥,"5,000"
60,시골제육 두부강된장 비빔밥,"5,000"
61,참치야채 감초고추장,"3,200"
62,두부강정 야채비빔밥,"4,800"
63,열무 두부강된장 비빔밥,"4,300"
64,튼튼도시락,"5,000"
65,반찬 계란말이,"2,500"
66,반찬 치즈계란말이,"3,000"
67,반찬 묵은지김치찌개,"4,000"
68,반찬 소고기육개장,"4,300"
69,반찬 카레,"2,600"
70,반찬 소불고기,"3,900"
71,반찬 순살 고등어데리야끼,"3,600"
72,반찬 치킨,"3,300"
73,반찬 고기고기,"3,200"
74,반찬 돈까스 도련님,"3,500"
75,반찬 제육볶음,"3,100"
76,반찬 토네이도 소세지,"2,600"
77,반찬 반달돈까스,"2,600"
78,리얼꿀 미니호떡,"2,200"
79,바삭 군만두,"2,000"
80,미니 찹쌀핫도그,"2,500"
81,미니 찹쌀탕수육,"2,200"
82,감자고로케,"2,200"
83,케이준후라이,"1,500"
84,고메이 크림 고로케,"3,500"
85,두부연근튀김,"3,000"
86,국물떡볶이 & 토네이도소세지 튀김set,"5,300"
87,리얼 티라미수 찰떡,"1,500"
88,국물 떡볶이,"3,000"
89,토네이도 소세지 튀김세트,"2,900"
90,리얼꿀 미니호떡,"2,200"
91,후라이드 순살(중),"7,000"
92,후라이드 순살(소)_양념치킨소스,"3,500"
93,후라이드 순살(소)_케이준소스,"3,500"
94,찹쌀탕수육박스(대),"10,000"
95,찹쌀탕수육박스(중),"5,000"
96,오리지널 닭강정(중),"7,500"
97,오리지널 닭강정(소),"2,900"
98,치킨 BOX(대),"10,000"
99,치킨BOX(중)_양식소스,"5,000"
100,치킨BOX(중)_타르타르소스,"5,000"
101,오징어젓갈,400
102,오이지무침,700
103,한솥 두부강된장소스,"1,800"
104,한솥 감초볶음고추장소스,500
105,볶음김치,400
106,김치,300
107,무말랭이 무침,300
108,한솥밥,"1,000"
109,현미밥,"1,700"
110,리얼 티라미수 찰떡,"1,500"
111,아이스 애플망고,"1,500"
